url,year_of_pass,Label,Up,Down
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1567_003670&category=dirSer,1567,정윤복(丁胤福),4,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1590_004339&category=dirSer,1590,남이신(南以信),4,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1616_005101&category=dirSer,1616,남두첨(南斗瞻),4,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1618_005186&category=dirSer,1618,이지굉(李志宏),4,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1662_006413&category=dirSer,1662,윤계(尹堦),4,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1691_007325&category=dirSer,1691,민진원(閔鎭遠),4,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1710_007896&category=dirSer,1710,김재로(金在魯),4,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1795_011238&category=dirSer,1795,민명혁(閔命爀),4,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1427_000529&category=dirSer,1427,이계전(李季甸),4,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1447_000861&category=dirSer,1447,강희맹(姜希孟),3,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1450_000903&category=dirSer,1450,성희(成熺),3,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1477_001636&category=dirSer,1477,이세좌(李世佐),3,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1492_001930&category=dirSer,1492,홍윤덕(洪潤德),3,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1513_002435&category=dirSer,1513,송세충(宋世忠),3,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1621_005271&category=dirSer,1621,이필행(李必行),3,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1684_007139&category=dirSer,1684,채성윤(蔡成胤),3,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1807_011616&category=dirSer,1807,이광문(李光文),4,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1514_002447&category=dirSer,1514,이약빙(李若氷),4,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1534_002891&category=dirSer,1534,정응두(丁應斗),3,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1534_002905&category=dirSer,1534,송기수(宋麒壽),3,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1548_003249&category=dirSer,1548,김홍도(金弘度),4,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1586_004224&category=dirSer,1586,신흠(申欽),3,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1586_004229&category=dirSer,1586,이상의(李尙毅),3,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1594_004452&category=dirSer,1594,성이문(成以文),4,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1595_004471&category=dirSer,1595,송일(宋馹),4,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1609_004831&category=dirSer,1609,윤지경(尹知敬),3,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1624_005369&category=dirSer,1624,윤강(尹絳),4,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1626_005460&category=dirSer,1626,신익전(申翊全),4,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1632_005645&category=dirSer,1632,임선백(任善伯),3,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1636_005784&category=dirSer,1636,이정영(李正英),3,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1636_005777&category=dirSer,1636,남훤(南翧),4,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1636_005779&category=dirSer,1636,윤집(尹鏶),4,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1650_006111&category=dirSer,1650,민유중(閔維重),3,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1652_006188&category=dirSer,1652,이민서(李敏叙),3,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1652_006194&category=dirSer,1652,이시술(李時術),4,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1653_006224&category=dirSer,1653,김만기(金萬基),3,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1662_006419&category=dirSer,1662,홍주국(洪柱國),3,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1678_006857&category=dirSer,1678,홍만조(洪萬朝),4,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1680_006956&category=dirSer,1680,정제선(鄭濟先),4,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1684_007093&category=dirSer,1684,민진주(閔鎭周),4,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1686_007164&category=dirSer,1686,민진후(閔鎭厚),4,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1687_007206&category=dirSer,1687,조대수(趙大壽),3,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1689_007234&category=dirSer,1689,송징은(宋徵殷),3,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1690_007312&category=dirSer,1690,목임중(睦林重),4,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1694_007422&category=dirSer,1694,임수간(任守幹),4,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1697_007526&category=dirSer,1697,이집(李㙫),4,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1699_007549&category=dirSer,1699,이정신(李正臣),4,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1710_007871&category=dirSer,1710,서명균(徐命均),4,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1725_008418&category=dirSer,1725,민응수(閔應洙),4,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1727_008539&category=dirSer,1727,남태제(南泰齊),4,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1740_008994&category=dirSer,1740,서지수(徐志修),4,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1740_009014&category=dirSer,1740,민백창(閔百昌),4,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1773_010307&category=dirSer,1773,조진택(趙鎭宅),3,4
